timestamp,service,metric,value
2025-08-28T14:45:00Z,auth,signin_attempt_rate,100
2025-08-28T14:50:00Z,auth,signin_attempt_rate,120
2025-08-28T14:53:00Z,auth,signin_attempt_rate,1400
2025-08-28T14:58:00Z,auth,signin_attempt_rate,2200
2025-08-28T15:03:00Z,auth,signin_attempt_rate,2100
2025-08-28T15:08:00Z,auth,signin_attempt_rate,1800
2025-08-28T14:45:00Z,storage,cpu_pct,45
2025-08-28T14:50:00Z,storage,cpu_pct,48
2025-08-28T14:53:00Z,storage,cpu_pct,89
2025-08-28T14:58:00Z,storage,cpu_pct,96
2025-08-28T15:03:00Z,storage,cpu_pct,98
2025-08-28T15:08:00Z,storage,cpu_pct,94
2025-08-28T14:50:00Z,backend_api,p95_latency_ms,160
2025-08-28T14:53:00Z,backend_api,p95_latency_ms,210
2025-08-28T14:58:00Z,backend_api,p95_latency_ms,950
2025-08-28T15:03:00Z,backend_api,p95_latency_ms,1200
2025-08-28T15:08:00Z,backend_api,p95_latency_ms,1050
2025-08-28T15:13:00Z,backend_api,p95_latency_ms,600
2025-08-28T14:50:00Z,backend_api,error_rate_pct,0.1
2025-08-28T14:53:00Z,backend_api,error_rate_pct,0.2
2025-08-28T14:58:00Z,backend_api,error_rate_pct,1.2
2025-08-28T15:03:00Z,backend_api,error_rate_pct,2.52
2025-08-28T15:08:00Z,backend_api,error_rate_pct,2.1
2025-08-28T15:13:00Z,backend_api,error_rate_pct,0.5
2025-08-28T14:50:00Z,cdc_consumer,lag_seconds,2
2025-08-28T14:53:00Z,cdc_consumer,lag_seconds,5
2025-08-28T14:58:00Z,cdc_consumer,lag_seconds,90
2025-08-28T15:03:00Z,cdc_consumer,lag_seconds,240
2025-08-28T15:08:00Z,cdc_consumer,lag_seconds,310
2025-08-28T15:13:00Z,cdc_consumer,lag_seconds,120
