timestamp,service,metric,value
2025-11-18T11:10:00Z,bot_management,feature_file_rows,100
2025-11-18T11:15:00Z,bot_management,feature_file_rows,100
2025-11-18T11:20:00Z,bot_management,feature_file_rows,200
2025-11-18T11:25:00Z,bot_management,feature_file_rows,200
2025-11-18T11:30:00Z,bot_management,feature_file_rows,200
2025-11-18T11:35:00Z,bot_management,feature_file_rows,200
2025-11-18T11:10:00Z,core_proxy,http_5xx_rate_pct,0.1
2025-11-18T11:15:00Z,core_proxy,http_5xx_rate_pct,0.2
2025-11-18T11:20:00Z,core_proxy,http_5xx_rate_pct,18
2025-11-18T11:25:00Z,core_proxy,http_5xx_rate_pct,42
2025-11-18T11:30:00Z,core_proxy,http_5xx_rate_pct,58
2025-11-18T11:35:00Z,core_proxy,http_5xx_rate_pct,55
2025-11-18T11:15:00Z,cdn,p95_latency_ms,80
2025-11-18T11:20:00Z,cdn,p95_latency_ms,110
2025-11-18T11:25:00Z,cdn,p95_latency_ms,450
2025-11-18T11:30:00Z,cdn,p95_latency_ms,850
2025-11-18T11:35:00Z,cdn,p95_latency_ms,900
2025-11-18T11:40:00Z,cdn,p95_latency_ms,780
2025-11-18T11:15:00Z,observability,cpu_pct,35
2025-11-18T11:20:00Z,observability,cpu_pct,42
2025-11-18T11:25:00Z,observability,cpu_pct,88
2025-11-18T11:30:00Z,observability,cpu_pct,97
2025-11-18T11:35:00Z,observability,cpu_pct,99
2025-11-18T11:40:00Z,observability,cpu_pct,91
2025-11-18T11:20:00Z,status_page,error_rate_pct,0
2025-11-18T11:25:00Z,status_page,error_rate_pct,1
2025-11-18T11:30:00Z,status_page,error_rate_pct,80
2025-11-18T11:35:00Z,status_page,error_rate_pct,85
2025-11-18T11:40:00Z,status_page,error_rate_pct,20
2025-11-18T11:45:00Z,status_page,error_rate_pct,5
