timestamp,service,metric,value
2025-04-16T12:10:00Z,envoy_perimeter,crash_restart_rate,0
2025-04-16T12:15:00Z,envoy_perimeter,crash_restart_rate,0
2025-04-16T12:20:00Z,envoy_perimeter,crash_restart_rate,40
2025-04-16T12:25:00Z,envoy_perimeter,crash_restart_rate,95
2025-04-16T12:30:00Z,envoy_perimeter,crash_restart_rate,100
2025-04-16T12:35:00Z,envoy_perimeter,crash_restart_rate,92
2025-04-16T12:10:00Z,perimeter,successful_requests_pct,99
2025-04-16T12:15:00Z,perimeter,successful_requests_pct,99
2025-04-16T12:20:00Z,perimeter,successful_requests_pct,60
2025-04-16T12:25:00Z,perimeter,successful_requests_pct,22
2025-04-16T12:30:00Z,perimeter,successful_requests_pct,15
2025-04-16T12:35:00Z,perimeter,successful_requests_pct,18
2025-04-16T12:15:00Z,clients,retry_rate,20
2025-04-16T12:20:00Z,clients,retry_rate,35
2025-04-16T12:25:00Z,clients,retry_rate,250
2025-04-16T12:30:00Z,clients,retry_rate,520
2025-04-16T12:35:00Z,clients,retry_rate,610
2025-04-16T12:40:00Z,clients,retry_rate,580
2025-04-16T12:20:00Z,kubernetes,oom_kill_rate,0
2025-04-16T12:25:00Z,kubernetes,oom_kill_rate,4
2025-04-16T12:30:00Z,kubernetes,oom_kill_rate,55
2025-04-16T12:35:00Z,kubernetes,oom_kill_rate,70
2025-04-16T12:40:00Z,kubernetes,oom_kill_rate,72
2025-04-16T12:45:00Z,kubernetes,oom_kill_rate,65
2025-04-16T12:20:00Z,perimeter,p95_latency_ms,90
2025-04-16T12:25:00Z,perimeter,p95_latency_ms,400
2025-04-16T12:30:00Z,perimeter,p95_latency_ms,1600
2025-04-16T12:35:00Z,perimeter,p95_latency_ms,2300
2025-04-16T12:40:00Z,perimeter,p95_latency_ms,2200
2025-04-16T12:45:00Z,perimeter,p95_latency_ms,2000
